Voltage,Current,Signal_Strength,Response_Frequency,Timestamp,Hour,Anomaly_Score
0.3381130520394715,0.9039192712245178,0.019947705366737845,0.9930572268918048,2025-03-26 20:07:51,20,-1
0.3574807341391377,0.37336057228503433,0.06070772401140889,0.997861698884421,2025-03-26 23:07:51,23,-1
0.35954040940154774,0.5075758334418218,0.02996066288100452,0.9932389336164131,2025-03-27 05:07:51,5,-1
0.20877923552294453,0.940010882228253,0.021340473588013165,0.990572786549469,2025-03-27 12:07:51,12,-1
0.07858194284541464,0.5649745803165193,0.07886789143650641,0.9948210309598831,2025-03-27 15:07:51,15,-1
0.01824043281241483,0.8840775642502111,0.168385942052383,0.988868091037224,2025-03-28 12:07:51,12,-1
0.1705553827356081,0.581538266387601,0.0524175398761737,0.9895879534834595,2025-03-29 15:07:51,15,-1
0.27848028195663543,0.5912688477856668,0.017503938543732334,0.9903859249397295,2025-03-30 03:07:51,3,-1
0.030993743205236735,0.7442476074119324,0.198759541543726,0.9890418213806826,2025-03-31 15:07:51,15,-1
0.098651950959044,0.9585874467154699,0.07924313375090675,0.9952263382677053,2025-04-01 00:07:51,0,-1
0.10677680464112438,0.6515350284239796,0.09282598518314078,0.9968291622971178,2025-04-02 02:07:51,2,-1
0.09423755936899725,0.9383919004175972,0.04543725253239561,0.9972295647257854,2025-04-02 04:07:51,4,-1
0.10283624258789503,0.9780152284433408,0.035408088871785814,0.9967688275214961,2025-04-02 12:07:51,12,-1
0.3861229679848377,0.44340406781697833,0.0899691216890921,0.9881974916733725,2025-04-02 18:07:51,18,-1
0.03813165245445305,0.6223666509775646,0.06703778475024458,0.9936304905955372,2025-04-03 06:07:51,6,-1
0.3460110127284568,0.9440333009536971,0.151819779169448,0.9942950064806312,2025-04-03 12:07:51,12,-1
0.07669624560244537,0.9495478534304055,0.013589573981828584,0.993413128256685,2025-04-04 00:07:51,0,-1
0.272622754721459,0.9208902063283828,0.11435202915057596,0.9882068609449617,2025-04-05 02:07:51,2,-1
