Timestamp,Sensor_ID,Voltage,Current,Signal_Strength,Response_Frequency
2025-04-11 20:56:47,S01,2.911265,0.000307,-76.415154,-67.480553
2025-04-11 21:56:47,S01,2.382786,0.174512,-98.854504,3.258217
2025-04-11 22:56:47,S01,3.002489,0.000351,-67.083382,-64.369709
2025-04-11 23:56:47,S01,3.050396,0.000304,-56.53699,-77.099207
2025-04-12 00:56:47,S01,3.11576,0.000361,-70.224491,-69.152377
2025-04-12 01:56:47,S01,2.323716,0.216457,-93.844518,3.286499
2025-04-12 02:56:47,S01,3.023161,0.000367,-73.126079,-74.108051
2025-04-12 03:56:47,S01,2.996401,0.000319,-70.980515,-72.691542
2025-04-12 04:56:47,S01,2.790763,0.000342,-60.761467,-76.81587
2025-04-12 05:56:47,S01,3.233333,0.000344,-77.737038,-79.16732
2025-04-12 06:56:47,S01,3.232957,0.000346,-70.708639,-60.177957
2025-04-12 07:56:47,S01,3.167928,0.00033,-78.950532,-54.928604
2025-04-12 08:56:47,S01,3.246872,0.000333,-56.5079,-50.39725
2025-04-12 09:56:47,S01,3.045611,0.000341,-52.75847,-69.435361
2025-04-12 10:56:47,S01,3.152498,0.000371,-59.134138,-56.316804
2025-04-12 11:56:47,S01,2.914639,0.000313,-55.887568,-65.69814
2025-04-12 12:56:47,S01,2.247997,0.107672,-99.575436,3.999673
2025-04-12 13:56:47,S01,3.132704,0.000374,-77.849389,-61.027343
2025-04-12 14:56:47,S01,2.946007,0.000326,-54.823601,-68.01752
2025-04-12 15:56:47,S01,3.12228,0.000316,-79.871055,-56.095744
2025-04-12 16:56:47,S01,2.941131,0.000302,-71.125213,-62.812599
2025-04-12 17:56:47,S01,2.822802,0.000311,-64.154652,-52.193963
2025-04-12 18:56:47,S01,3.187681,0.00033,-53.023689,-67.972566
2025-04-12 19:56:47,S01,2.789396,0.000354,-64.698306,-71.587369
2025-04-12 20:56:47,S01,2.806727,0.000348,-53.946025,-71.848792
2025-04-12 21:56:47,S01,2.971577,0.000335,-67.025284,-76.74319
2025-04-12 22:56:47,S01,2.940957,0.000335,-67.869523,-58.378992
2025-04-12 23:56:47,S01,2.84543,0.000392,-71.738991,-71.742746
2025-04-13 00:56:47,S01,2.875929,0.000375,-63.814144,-71.072512
