Voltage,Current,Signal_Strength,Response_Frequency,Timestamp,Anomaly_Score
0.19735503397534782,0.3638853021815089,0.0,0.9999999999999999,2025-04-12 12:56:47,-1
0.0064866397811989,0.45252159649711426,0.12297723280173511,0.9938561450555484,2025-04-18 18:56:47,-1
0.08731368034492859,0.3624314148120283,0.03141921457905106,0.9938564426767964,2025-04-19 01:56:47,-1
0.0,0.8928596846182784,0.11466897942857512,0.988405711904132,2025-04-19 14:56:47,-1
0.06065332647577626,0.7148550687800563,0.006681013290243953,0.9960266968164133,2025-04-21 16:56:47,-1
0.019374199884959697,0.4641764185568897,0.020294945738555947,0.9881552576716072,2025-04-22 15:56:47,-1
0.36385747177266237,0.3867984315639287,0.007133963685769906,0.9996667594411619,2025-04-22 16:56:47,-1
0.37589985403658543,1.0,0.15892276367569824,0.995471442711499,2025-04-22 20:56:47,-1
0.04223325626593222,0.9263702634281242,0.056405266547518096,0.9949404864052624,2025-04-25 03:56:47,-1
0.02589288432359349,0.39451521837117165,0.04807040226296433,0.99977990313476,2025-04-25 19:56:47,-1
0.16638547479767785,0.990131188764738,0.16473402989226482,0.9993981145979661,2025-04-26 14:56:47,-1
0.07700331181534592,0.529933473638548,0.00675202952080145,0.9895973516661354,2025-04-27 21:56:47,-1
0.25286439181643505,0.8282311714807622,0.1569903959021699,0.9883820212527998,2025-04-29 07:56:47,-1
0.37876464641123864,0.9582778382152092,0.12068126999777706,0.9915423422356491,2025-04-29 19:56:47,-1
